RUN	linebot.LineBotSimulation	linebotsimulation	1593598413548	 	3.3.1
REQUEST	84		who are you	1593598427347	1593598427349	OK	 
REQUEST	84		parrot	1593598427351	1593598427352	OK	 
REQUEST	84		send location	1593598427353	1593598427354	OK	 
REQUEST	84		send postback	1593598427355	1593598427356	OK	 
USER	All Check	84	END	1593598427346	1593598427356
USER	All Check	85	START	1593598427386	1593598427386
REQUEST	85		who are you	1593598427387	1593598427389	OK	 
REQUEST	85		parrot	1593598427390	1593598427391	OK	 
REQUEST	85		send location	1593598427392	1593598427393	OK	 
REQUEST	85		send postback	1593598427395	1593598427396	OK	 
USER	All Check	85	END	1593598427386	1593598427397
USER	All Check	86	START	1593598427427	1593598427427
REQUEST	86		who are you	1593598427428	1593598427432	OK	 
REQUEST	86		parrot	1593598427433	1593598427434	OK	 
REQUEST	86		send location	1593598427436	1593598427437	OK	 
