RUN	linebot.LineBotSimulation	linebotsimulation	1593580628513	 	3.3.1
REQUEST	47		send postback	1593580641967	1593580641969	OK	 
USER	All Check	47	END	1593580641952	1593580641970
USER	All Check	48	START	1593580642032	1593580642032
REQUEST	48		healthy	1593580642033	1593580642036	OK	 
REQUEST	48		who are you	1593580642038	1593580642040	OK	 
REQUEST	48		parrot	1593580642042	1593580642043	OK	 
REQUEST	48		send location	1593580642045	1593580642047	OK	 
REQUEST	48		send postback	1593580642048	1593580642050	OK	 
USER	All Check	48	END	1593580642032	1593580642051
USER	All Check	49	START	1593580642112	1593580642112
REQUEST	49		healthy	1593580642113	1593580642116	OK	 
REQUEST	49		who are you	1593580642117	1593580642119	OK	 
REQUEST	49		parrot	1593580642120	1593580642122	OK	 
REQUEST	49		send location	1593580642123	1593580642125	OK	 
REQUEST	49		send postback	1593580642126	1593580642128	OK	 
USER	All Check	49	END	1593580642112	1593580642129
USER	All Check	50	START	1593580642191	1593580642191
REQUEST	50		healthy	1593580642192	1593580642195	OK	 
REQUEST	50		who are you	1593580642196	1593580642198	OK	 
REQUEST	50		parrot	1593580642199	1593580642201	OK	 
REQUEST	50		send location	1593580642203	1593580642205	OK	 
REQUEST	50		send postback	1593580642206	1593580642208	OK	 
USER	All Check	50	END	1593580642191	1593580642209
USER	All Check	51	START	1593580642272	1593580642272
REQUEST	51		healthy	1593580642273	1593580642277	OK	 
REQUEST	51		who are you	1593580642278	1593580642280	OK	 
REQUEST	51		parrot	1593580642281	1593580642283	OK	 
REQUEST	51		send location	1593580642284	1593580642286	OK	 
REQUEST	51		send postback	1593580642287	1593580642289	OK	 
USER	All Check	51	END	1593580642272	1593580642290
USER	All Check	52	START	1593580642341	1593580642341
REQUEST	52		healthy	1593580642343	1593580642346	OK	 
REQUEST	52		who are you	1593580642347	1593580642349	OK	 
REQUEST	52		parrot	1593580642351	1593580642352	OK	 
REQUEST	52		send location	1593580642354	1593580642356	OK	 
REQUEST	52		send postback	1593580642357	1593580642358	OK	 
USER	All Check	52	END	1593580642341	1593580642361
USER	All Check	53	START	1593580642422	1593580642422
REQUEST	53		healthy	1593580642423	1593580642426	OK	 
REQUEST	53		who are you	1593580642427	1593580642429	OK	 
REQUEST	53		parrot	1593580642430	1593580642432	OK	 
REQUEST	53		send location	1593580642433	1593580642435	OK	 
REQUEST	53		send postback	1593580642436	1593580642438	OK	 
USER	All Check	53	END	1593580642422	1593580642439
USER	All Check	54	START	1593580642493	1593580642493
REQUEST	54		healthy	1593580642494	1593580642499	OK	 
REQUEST	54		who are you	1593580642500	1593580642503	OK	 
REQUEST	54		parrot	1593580642505	1593580642510	OK	 
REQUEST	54		send location	1593580642512	1593580642515	OK	 
REQUEST	54		send postback	1593580642516	1593580642518	OK	 
USER	All Check	54	END	1593580642493	1593580642519
USER	All Check	55	START	1593580642562	1593580642562
REQUEST	55		healthy	1593580642563	1593580642566	OK	 
REQUEST	55		who are you	1593580642567	1593580642570	OK	 
REQUEST	55		parrot	1593580642571	1593580642573	OK	 
REQUEST	55		send location	1593580642574	1593580642576	OK	 
REQUEST	55		send postback	1593580642579	1593580642581	OK	 
USER	All Check	55	END	1593580642562	1593580642583
USER	All Check	56	START	1593580642643	1593580642643
REQUEST	56		healthy	1593580642644	1593580642646	OK	 
REQUEST	56		who are you	1593580642647	1593580642649	OK	 
REQUEST	56		parrot	1593580642650	1593580642652	OK	 
REQUEST	56		send location	1593580642653	1593580642656	OK	 
REQUEST	56		send postback	1593580642657	1593580642659	OK	 
USER	All Check	56	END	1593580642643	1593580642660
USER	All Check	57	START	1593580642712	1593580642712
REQUEST	57		healthy	1593580642713	1593580642717	OK	 
REQUEST	57		who are you	1593580642719	1593580642721	OK	 
REQUEST	57		parrot	1593580642722	1593580642724	OK	 
REQUEST	57		send location	1593580642726	1593580642729	OK	 
REQUEST	57		send postback	1593580642730	1593580642733	OK	 
USER	All Check	57	END	1593580642712	1593580642734
USER	All Check	58	START	1593580642782	1593580642782
REQUEST	58		healthy	1593580642783	1593580642786	OK	 
REQUEST	58		who are you	1593580642787	1593580642789	OK	 
REQUEST	58		parrot	1593580642790	1593580642791	OK	 
REQUEST	58		send location	1593580642792	1593580642794	OK	 
REQUEST	58		send postback	1593580642795	1593580642797	OK	 
USER	All Check	58	END	1593580642782	1593580642798
USER	All Check	59	START	1593580642842	1593580642842
REQUEST	59		healthy	1593580642842	1593580642845	OK	 
REQUEST	59		who are you	1593580642845	1593580642847	OK	 
REQUEST	59		parrot	1593580642848	1593580642851	OK	 
REQUEST	59		send location	1593580642853	1593580642855	OK	 
REQUEST	59		send postback	1593580642856	1593580642858	OK	 
USER	All Check	59	END	1593580642842	1593580642859
USER	All Check	60	START	1593580642911	1593580642911
REQUEST	60		healthy	1593580642913	1593580642915	OK	 
REQUEST	60		who are you	1593580642917	1593580642919	OK	 
REQUEST	60		parrot	1593580642920	1593580642922	OK	 
REQUEST	60		send location	1593580642924	1593580642926	OK	 
REQUEST	60		send postback	1593580642927	1593580642929	OK	 
USER	All Check	60	END	1593580642911	1593580642930
USER	All Check	61	START	1593580642983	1593580642983
REQUEST	61		healthy	1593580642984	1593580642987	OK	 
REQUEST	61		who are you	1593580642988	1593580642989	OK	 
REQUEST	61		parrot	1593580642990	1593580642992	OK	 
REQUEST	61		send location	1593580642994	1593580642995	OK	 
REQUEST	61		send postback	1593580642997	1593580642999	OK	 
USER	All Check	61	END	1593580642983	1593580643000
USER	All Check	62	START	1593580643041	1593580643041
REQUEST	62		healthy	1593580643042	1593580643045	OK	 
REQUEST	62		who are you	1593580643046	1593580643048	OK	 
REQUEST	62		parrot	1593580643049	1593580643051	OK	 
REQUEST	62		send location	1593580643052	1593580643054	OK	 
REQUEST	62		send postback	1593580643055	1593580643057	OK	 
USER	All Check	62	END	1593580643041	1593580643057
USER	All Check	63	START	1593580643113	1593580643113
REQUEST	63		healthy	1593580643114	1593580643118	OK	 
